Party,Date,Supplier,Description,Amount,Category
Labor,01-08-2022,DESI AUSTRALIA PTY LTD,By Election Ad ½ page,420,Advertising
Labor,18-10-2022,,"Godaddy - .AU Domain Priority Rights Pre-Registration
1 Year marjorieoneill.au",9.96,Advertising
Labor,18-10-2022,,"Crazy Domains - perrottetrecord.com.au - 04/10/2022
- 04/10/2023",22.1,Advertising
Labor,18-10-2022,,"Crazy Domains: PerrottetRecord premium web
forwarding – State Campaign 04/10/2022 -
04/10/2023",28.6,Advertising
Labor,18-10-2022,,"Godaddy -.AU Domain Priority Rights Pre-Registration
1 Year dangerousdominic.au",19.91,Advertising
Labor,22-10-2022,,"Reimbursement - Camden Social Media Sept and Oct
Meta Ads",197.25,Advertising
Labor,27-10-2022,VALLEY SIGNS AND PRINTING PTY LTD,"election banner for Clarence candidate, Leon
Ankersmit",275,Advertising
Labor,01-11-2022,JEFFRIES PRINTING SERVICES,CORFLUTES - MOBILE OFFICES - Jihad Dib,55,Advertising
Labor,07-12-2022,Message Media,18/11/22 - 30/11/22 Messaging Australia,0.07,Advertising
Labor,04-12-2022,Heads News,Advertisement Dec 2022,123,Advertising
Labor,26-11-2022,THE BERRY ALLIANCE,Newspaper Advertising- In the Berry Town Crier,143,Advertising
Labor,05-12-2022,The Shannon Company Pty Ltd,"Media planning & buying fees + Media budget
November Instalment as per Billing Schedule",22000,Advertising
Labor,05-12-2022,The Shannon Company Pty Ltd,"Services Agreement Between NSW Labor and TSC as
per Creative Services Response - October",55000,Advertising
Labor,05-12-2022,The Shannon Company Pty Ltd,"Services Agreement Between NSW Labor and TSC as
per Creative Services Response - November",88000,Advertising
Labor,30-11-2022,OZ Arab Media,"CHRISTMAS Day 2022 AD Quarter Page - Nathan
Hagarty",550,Advertising
Labor,17-12-2022,Kangaroo Valley Voice,Half Page Colour Kiama Labor,185,Advertising
Labor,31-12-2022,Message Media,01/12/2022 - 31/12/2022 Messaging Australia,0.12,Advertising
Labor,31-12-2022,RADIO 2DU,Radio Advertising 28-30 Spots Dubbo,2310,Advertising
Labor,11-01-2023,INDUS AGE,Full Page Colour Advrt.- Sydney Edition Jan 2023,1100,Advertising
Labor,10-01-2023,"LITTLE, JULIA",Julia Little Reims Portrait Shots,1263.9,Advertising
Labor,10-01-2023,"LITTLE, JULIA",Julia Little Reims Advertising,581.41,Advertising
Labor,11-01-2023,CAMPBELLTOWN RADIO PTY LTD,Radio Ad Sally Quinnell Camden,2640,Advertising
Labor,13-12-2022,The Shannon Company Pty Ltd,"Services Agreement Between NSW Labor and TSC as
per Creative Services Response - December as per
schedule",165000,Advertising
Labor,13-12-2022,The Shannon Company Pty Ltd,Media Planning and Buying Fees,77000,Advertising
Labor,13-12-2022,The Shannon Company Pty Ltd,"Media Charges $100,000
oM etro TV (Seven, Nine, Ten, SBS),
oO utdoor DLF (QMS, Ooh Media)
oO utdoor Retail (Shopper Media and Branspace
Westfield",110000,Advertising
Labor,13-01-2023,The Shannon Company Pty Ltd,"Services Agreement Between NSW Labor and TSC as
per Creative Services Response January as per
Schedule",440000,Advertising
Labor,13-01-2023,The Shannon Company Pty Ltd,Media Planning and Buying Fees,77000,Advertising
Labor,13-01-2023,The Shannon Company Pty Ltd,"Media Charges $200,000
oM etro TV (Seven, Nine, Ten, SBS),
oO utdoor DLF (QMS, Ooh Media)
oO utdoor Retail (Shopper Media and Branspace
Westfield",220000,Advertising
Labor,25-01-2023,,,1.95,Advertising
Labor,25-01-2023,,,14.34,Advertising
Labor,25-01-2023,,,4.97,Advertising
Labor,25-01-2023,,,19.72,Advertising
Labor,25-01-2023,,,3.3,Advertising
Labor,24-06-2022,JEFFRIES PRINTING SERVICES,DL CARD - Progressive Voice,209,Campaign Material
Labor,30-06-2022,"HAYLEN, JOANNA",Nationbuilder charges and website charges,4794.25,Campaign Material
